train,test,norm,pos,quat
0.13759935,0.1712283,0.0023477771,0.7082563,0.073932156
0.13550945,0.15324733,0.0023087312,0.6932921,0.07327706
0.13858873,0.14902006,0.0022803321,0.7231957,0.073379055
0.13508913,0.110191755,0.002249169,0.6935987,0.07278259
0.13591918,0.15777454,0.0022248183,0.7034826,0.07260939
0.13642462,0.12611033,0.0022064906,0.71094567,0.07234378
0.13390459,0.13729943,0.0021779803,0.69016385,0.07185601
0.13511531,0.13733147,0.0021544066,0.70450896,0.07160997
0.13413538,0.11183388,0.0021290157,0.6990898,0.07112611
0.13159186,0.086286895,0.0021088524,0.67707276,0.07074855
0.12987126,0.15649796,0.0020768673,0.66225094,0.07048719
0.13202062,0.094322845,0.0020518606,0.68400866,0.07046063
0.12911768,0.10008695,0.0020338348,0.6578192,0.07014709
0.13123846,0.08491774,0.0020192205,0.68032503,0.07000448
0.13027494,0.08959978,0.002002157,0.67197144,0.06986398
0.13183211,0.23210897,0.0019991365,0.68691546,0.06993407
0.13135792,0.14883402,0.0019899139,0.6819712,0.06995758
0.13119173,0.18905437,0.001971759,0.68313384,0.06964573
0.12791786,0.07867616,0.0019355443,0.6558702,0.069041416
0.12522948,0.14019601,0.0019183394,0.6309642,0.06882359
0.12576544,0.15764739,0.0019027813,0.63718516,0.06872962
0.12858094,0.14334787,0.0018969398,0.6632028,0.06896775
0.12551399,0.18103373,0.0018841225,0.63545257,0.06864479
0.12476293,0.07704152,0.0018605373,0.6321922,0.06817516
0.1261934,0.08988809,0.0018516735,0.64815277,0.067992166
0.122367665,0.10266887,0.0018218947,0.614787,0.067451976
0.12371762,0.058902554,0.0018057908,0.63109946,0.06714122
0.124190986,0.12466331,0.0017932421,0.63666666,0.067049995
0.12582898,0.15984118,0.0017950529,0.6534569,0.0670042
0.121955164,0.19548872,0.0017712555,0.61888456,0.066543974
0.12327448,0.104720116,0.0017563605,0.63385296,0.06634839
0.121858574,0.07545423,0.0017451887,0.62172097,0.06612439
0.121563576,0.13450706,0.001728934,0.619809,0.06601088
0.12138627,0.100686006,0.0017247271,0.6191335,0.06588938
0.12370856,0.19031258,0.0017101205,0.64173275,0.06596031
0.11927108,0.13145308,0.0016906597,0.6012483,0.065530196
0.1185621,0.08503793,0.0016728897,0.59669894,0.06524993
0.11803948,0.10600526,0.0016551458,0.5934977,0.065026894
0.11982356,0.09359955,0.0016391147,0.61209005,0.064945154
0.118102774,0.11043029,0.001625308,0.59707046,0.06470357
0.120004386,0.10626147,0.0016163054,0.61648303,0.0646605
0.121219635,0.17633463,0.0016038623,0.627289,0.06481149
0.11979431,0.11722111,0.0015968252,0.6164761,0.06443002
0.11654013,0.08108157,0.0015787431,0.58707494,0.06408306
0.11758461,0.16209716,0.0015657048,0.596594,0.06418739
0.11904877,0.086996906,0.0015626404,0.6133065,0.06395761
0.11765285,0.14878936,0.0015524005,0.6018024,0.06368596
0.117052004,0.06332653,0.0015418794,0.59702027,0.063550875
0.09643987,0.064436436,0.0015243827,0.39758617,0.0628098
0.09487031,0.08517684,0.0015141449,0.38283223,0.06270631
0.095321044,0.18209074,0.0015017436,0.3855385,0.06290781
0.096853346,0.10468339,0.001501056,0.40249556,0.06272632
0.09565992,0.12832949,0.0014988196,0.39130557,0.06264386
0.09562299,0.0969762,0.0014996268,0.39175168,0.06255317
0.09463,0.104582496,0.001489708,0.38285956,0.062438972
0.09439439,0.06792276,0.0014804138,0.3818472,0.062290702
0.09435675,0.083365016,0.0014741907,0.38196233,0.06223678
0.09446259,0.09489048,0.0014745604,0.38361356,0.06217086
0.09536395,0.06910753,0.0014637067,0.39240605,0.06219664
0.094856605,0.11177879,0.0014559074,0.38566002,0.06238334
0.09334018,0.06743619,0.0014467986,0.3726256,0.062147718
0.09308722,0.109251074,0.0014415644,0.3704693,0.062106814
0.093055665,0.090690866,0.0014345208,0.37100485,0.062013034
0.09285255,0.06825166,0.0014301057,0.36992955,0.061907314
0.0929852,0.10967121,0.0014237245,0.3713066,0.061902415
0.09288744,0.10332782,0.0014185489,0.3709371,0.061835423
